kind,subj_term,rel,correct,gate_1mu,gate_b,foil,a,m_l1,m_l2,m_ref,action,tag
id,Michael Garcia,works at,1,0.767112,0.603552,0.970077,0.048584,0.017578,0.902100,0.294453,answer,None
ood,Felix (neighbour),reports to,0,0.597039,0.000001,0.206381,0.041992,0.007324,0.004639,0.188617,recollect,None
ood,Robert Baker,studied at,0,0.351394,0.000003,0.031945,0.033691,0.000244,0.055664,0.195099,recollect,None
ref,David,studied at,0,0.428634,0.000007,0.150450,0.036377,0.003174,0.076172,0.057595,recollect,None
id,Adam Yang,manages,1,0.767112,0.540800,0.962641,0.048584,0.016846,0.799072,0.259691,answer,None
id,Riverside,works at,0,0.645719,0.574025,0.827190,0.043701,0.008301,0.945068,0.356422,recollect,None
ood,Clara (old classmate),is scheduled at,0,0.443185,0.000002,0.131519,0.036865,0.007812,0.028320,0.128560,recollect,None
coll,Salem,studied at,1,0.933515,0.000002,0.538214,0.060547,0.007324,0.000000,0.552994,deliberate,stored
id,Peter Schmidt,works at,1,0.546370,0.343455,0.759039,0.040283,0.003418,0.915039,0.232101,recollect,None
ood,Vertex Analytics,manages,0,0.344680,0.000001,0.025071,0.033447,0.007324,0.002441,0.284580,recollect,None
id,Sofia Olson,is a sibling of,1,0.697832,0.437858,0.931866,0.045654,0.007812,0.927490,0.231705,answer,None
id,James Olsen,works at,1,0.815774,0.511765,0.962002,0.051025,0.016357,0.627197,0.231665,answer,None
id,Clara Chen,works at,1,0.953764,0.526488,0.999472,0.063721,0.030273,0.770508,0.206704,answer,None
ood,Michael Sousa,is a sibling of,0,0.287242,0.000003,0.041905,0.031250,0.005127,0.062988,0.134194,recollect,None
id,Maria Novak,is married to,1,0.472556,0.247290,0.638187,0.037842,0.001709,0.870117,0.197462,recollect,None
id,Sofia Park,is married to,1,0.986600,0.850828,0.999979,0.074219,0.047119,0.934082,0.336818,answer,None
id,Clara Patel,is married to,1,0.914953,0.409954,0.996337,0.058350,0.022949,0.637207,0.173319,deliberate,referential
ref,Laura,studied at,1,0.678792,0.080246,0.926080,0.044922,0.003906,0.693848,0.029248,deliberate,referential
coll,Orion Media,works at,1,0.956305,0.000002,0.952008,0.064209,0.011230,0.000000,0.258039,deliberate,stored
ood,Max (dentist),was born in,0,0.241305,0.000005,0.006334,0.029297,0.000488,0.083496,0.339877,recollect,None
id,Hugo Park,was born in,1,0.948255,0.864226,0.998211,0.062744,0.027588,0.828369,0.376454,answer,None
id,Oscar Barker,is a sibling of,1,0.509515,0.166435,0.883868,0.039062,0.009521,0.928467,0.132131,recollect,None
id,Vienna,manages,0,0.312071,0.282482,0.220722,0.032227,0.002197,0.955322,0.370498,recollect,None
ood,Maya (accountant),works at,0,0.331438,0.000001,0.013461,0.032959,0.001465,0.005615,0.300532,recollect,None
id,Leo Schmidt,is married to,1,0.697832,0.426278,0.948171,0.045654,0.010986,0.930908,0.226074,answer,None
coll,Elena Kline,works at,1,0.836980,0.000001,0.453289,0.052246,0.001221,0.000000,0.257486,deliberate,stored
id,Vertex Logistics,studied at,1,0.645719,0.506549,0.803579,0.043701,0.000732,0.955811,0.293354,recollect,None
id,Sarah Meier,is a sibling of,1,0.978033,0.565714,0.999897,0.070068,0.034424,0.795166,0.215303,answer,None
ood,Felix (neighbour),works at,0,0.546370,0.000001,0.139321,0.040283,0.005859,0.000000,0.188617,recollect,None
id,Atlas Foods,is scheduled at,1,0.979861,0.883839,0.999754,0.070801,0.034424,0.770020,0.367575,answer,None
id,Peter Novak,lives in,1,0.983567,0.509370,0.999947,0.072510,0.028320,0.934326,0.195724,answer,None
id,Delta Energy,is a sibling of,1,0.450499,0.402981,0.393538,0.037109,0.005127,0.838379,0.361024,recollect,None
id,Robert (brother),reports to,1,0.923723,0.322571,0.997704,0.059326,0.025146,0.610840,0.140198,deliberate,referential
ood,Aurora,studied at,0,0.305754,0.000001,0.002796,0.031982,0.001221,0.009766,0.527473,recollect,None
id,Michael Sousa,lives in,1,0.472556,0.157054,0.804323,0.037842,0.007812,0.867920,0.134194,recollect,None
ood,Julia Johnson,manages,0,0.287242,0.000001,0.009135,0.031250,0.000488,0.000000,0.292627,recollect,None
id,Paul Meier,reports to,1,0.940495,0.309580,0.999653,0.061523,0.029053,0.906494,0.133044,deliberate,referential
ref,Maria,studied at,1,0.632067,0.081541,0.915246,0.043213,0.006836,0.698975,0.037219,recollect,None
ood,John (manager),is scheduled at,0,0.338027,0.000011,0.022516,0.033203,0.002930,0.098633,0.298198,recollect,None
ood,Zoe (colleague),is a sibling of,0,0.435896,0.000001,0.108260,0.036621,0.010254,0.017090,0.180669,recollect,None
